,ROC,PRC,F1,ACC,MCC,cohort,mode
Test,0.28205128205128205,0.1246947496947497,0.0,0.4375,-0.3721042037676254,Choueiri,"Geneset leavel
(p=140)"
Test,0.4166666666666667,0.23381118881118884,0.1818181818181818,0.47058823529411764,-0.20658356100321165,Miao,"Geneset leavel
(p=140)"
Test,0.4897959183673469,0.2954366828316408,0.5,0.5238095238095238,0.1386750490563073,Snyder,"Geneset leavel
(p=140)"
Test,0.2647058823529412,0.21929541721421517,0.2857142857142857,0.4,-0.19909770068814503,SU2CLC2,"Geneset leavel
(p=140)"
Test,0.512987012987013,0.41714270719850816,0.5217391304347826,0.56,0.11613144917081457,Zhao,"Geneset leavel
(p=140)"
Test,0.5476190476190477,0.5606393365876112,0.56,0.5769230769230769,0.16817499303650435,Hugo,"Geneset leavel
(p=140)"
Test,0.48863636363636365,0.33411051302827843,0.4375,0.47058823529411764,-0.0073561235792062455,MGH,"Geneset leavel
(p=140)"
Test,0.6153846153846154,0.36739590064826705,0.4827586206896552,0.6153846153846154,0.18430244519362143,Allen,"Geneset leavel
(p=140)"
Test,0.8207070707070708,0.7726943578917265,0.7199999999999999,0.8444444444444444,0.6134866108386732,Kim,"Geneset leavel
(p=140)"
Test,0.578048780487805,0.28204860968612766,0.4,0.6470588235294118,0.2102413284958751,Riaz,"Geneset leavel
(p=140)"
Test,0.7643939393939394,0.8171363655352185,0.72,0.7123287671232876,0.43094646456389274,Gide,"Geneset leavel
(p=140)"
Test,0.6190068493150686,0.24339625625725927,0.36363636363636365,0.6853932584269663,0.18691259725997222,Rose,"Geneset leavel
(p=140)"
Test,0.6578947368421052,0.5309640470554946,0.5454545454545455,0.6568627450980392,0.2699973937567449,SU2CLC1,"Geneset leavel
(p=140)"
Test,0.5450849963045085,0.44501288262797756,0.4470588235294118,0.5607476635514018,0.08361322472047007,Liu,"Geneset leavel
(p=140)"
Test,0.6835826210826211,0.5031651584986202,0.49557522123893816,0.6545454545454545,0.24826816321842415,IMmotion150,"Geneset leavel
(p=140)"
Test,0.6883631713554987,0.38059992748027416,0.44221105527638194,0.62751677852349,0.22727436320189978,IMVigor210,"Geneset leavel
(p=140)"
Test,0.23076923076923075,0.12093253968253967,0.25,0.625,0.021591675854376522,Choueiri,"Cell type/pathway leavel
(p=45)"
Test,0.6666666666666666,0.5131501831501832,0.5,0.6470588235294118,0.24688535993934707,Miao,"Cell type/pathway leavel
(p=45)"
Test,0.6020408163265306,0.34689785004911056,0.5555555555555556,0.6190476190476191,0.26967994498529685,Snyder,"Cell type/pathway leavel
(p=45)"
Test,0.22794117647058823,0.21007284957530614,0.3,0.44,-0.14417419705003606,SU2CLC2,"Cell type/pathway leavel
(p=45)"
Test,0.4675324675324675,0.39096724391600735,0.5217391304347826,0.56,0.11613144917081457,Zhao,"Cell type/pathway leavel
(p=45)"
Test,0.49404761904761907,0.5053824148743312,0.6428571428571429,0.6153846153846154,0.2261904761904762,Hugo,"Cell type/pathway leavel
(p=45)"
Test,0.5037878787878788,0.3306032733850099,0.4516129032258065,0.5,0.036456553271650594,MGH,"Cell type/pathway leavel
(p=45)"
Test,0.6301775147928994,0.37464093796970677,0.5625,0.6410256410256411,0.29019050004400465,Allen,"Cell type/pathway leavel
(p=45)"
Test,0.7979797979797979,0.7019954585285063,0.75,0.8666666666666667,0.6590909090909091,Kim,"Cell type/pathway leavel
(p=45)"
Test,0.6121951219512195,0.41501976458373924,0.45454545454545453,0.7647058823529411,0.308190263106934,Riaz,"Cell type/pathway leavel
(p=45)"
Test,0.7651515151515151,0.7964128085917219,0.7105263157894738,0.6986301369863014,0.40045658830325054,Gide,"Cell type/pathway leavel
(p=45)"
Test,0.5787671232876712,0.2203368711487631,0.4,0.6629213483146067,0.2341174979725641,Rose,"Cell type/pathway leavel
(p=45)"
Test,0.5863486842105262,0.4532760352961893,0.5060240963855421,0.5980392156862745,0.17296501815952614,SU2CLC1,"Cell type/pathway leavel
(p=45)"
Test,0.5254988913525499,0.3966521580101674,0.5217391304347826,0.5887850467289719,0.1715834442681,Liu,"Cell type/pathway leavel
(p=45)"
Test,0.6663105413105412,0.4334046308774917,0.5,0.6363636363636364,0.24362919231306998,IMmotion150,"Cell type/pathway leavel
(p=45)"
Test,0.6686700767263427,0.3242803383239069,0.443298969072165,0.6375838926174496,0.230628046004053,IMVigor210,"Cell type/pathway leavel
(p=45)"
Test,0.20512820512820512,0.11537698412698412,0.0,0.6875,-0.18156825980064073,Choueiri,"Original abundance
(p=15672)"
