	concept
0	IFNg_pathway
1	Cell_proliferation
2	Cytotoxic_Tcell
3	Exhausted_Tcell
4	TGFb_pathway
5	CD8_Tcell
6	Macrophage
7	Memory_Bcell
8	Bcell_general
9	NKcell
10	Immune_checkpoint
11	Stroma
12	Pericyte
13	Pancreatic
14	Naive_Bcell
15	Memory_Tcell
16	pDC
17	CD4_Tcell
18	Genome_integrity
19	Cytokine
20	Epithelial
21	Hepatocyte
22	Erythrocyte
23	Platelet
24	Plasma_cell
25	TLS
26	Myeloid
27	Stem
28	Monocyte
29	Mesothelial
30	Tcell_general
31	Treg
32	Innate_lymphoid_cell
33	Reference
34	CANCER
35	cDC
36	Endothelial
37	Pneumocyte
38	Granulocyte
39	Naive_Tcell
40	Fibroblast
41	Apoptosis_pathway
42	Mast
43	Adipocyte
