	ROC	PRC	F1	ACC	MCC	cohort	mode	seed
Test	0.23076923076923075	0.12093253968253967	0.25	0.625	0.021591675854376522	Choueiri	NFT	42
Test	0.6666666666666666	0.5131501831501832	0.5	0.6470588235294118	0.24688535993934707	Miao	NFT	42
Test	0.6020408163265306	0.34689785004911056	0.5555555555555556	0.6190476190476191	0.26967994498529685	Snyder	NFT	42
Test	0.22794117647058823	0.21007284957530614	0.3	0.44	-0.14417419705003606	SU2CLC2	NFT	42
Test	0.4675324675324675	0.39096724391600735	0.5217391304347826	0.56	0.11613144917081457	Zhao	NFT	42
Test	0.49404761904761907	0.5053824148743312	0.6428571428571429	0.6153846153846154	0.2261904761904762	Hugo	NFT	42
Test	0.5037878787878788	0.3306032733850099	0.4516129032258065	0.5	0.036456553271650594	MGH	NFT	42
Test	0.6301775147928994	0.37464093796970677	0.5625	0.6410256410256411	0.29019050004400465	Allen	NFT	42
Test	0.7979797979797979	0.7019954585285063	0.75	0.8666666666666667	0.6590909090909091	Kim	NFT	42
Test	0.6121951219512195	0.41501976458373924	0.45454545454545453	0.7647058823529411	0.308190263106934	Riaz	NFT	42
Test	0.7651515151515151	0.7964128085917219	0.7105263157894738	0.6986301369863014	0.40045658830325054	Gide	NFT	42
Test	0.5787671232876712	0.2203368711487631	0.4	0.6629213483146067	0.2341174979725641	Rose	NFT	42
Test	0.5863486842105262	0.4532760352961893	0.5060240963855421	0.5980392156862745	0.17296501815952614	SU2CLC1	NFT	42
Test	0.5254988913525499	0.3966521580101674	0.5217391304347826	0.5887850467289719	0.1715834442681	Liu	NFT	42
Test	0.6663105413105412	0.4334046308774917	0.5	0.6363636363636364	0.24362919231306998	IMmotion150	NFT	42
Test	0.6686700767263427	0.3242803383239069	0.443298969072165	0.6375838926174496	0.230628046004053	IMVigor210	NFT	42
