	ROC	PRC	F1	ACC	MCC	cohort	mode	seed
Test	0.20512820512820512	0.11537698412698412	0.2	0.5	-0.10087125544480041	Choueiri	NFT	42
Test	0.6833333333333333	0.5143406593406594	0.6153846153846154	0.7058823529411765	0.42600643361512924	Miao	NFT	42
Test	0.5612244897959183	0.33880032874393773	0.5555555555555556	0.6190476190476191	0.26967994498529685	Snyder	NFT	42
Test	0.375	0.2498342572675003	0.3478260869565218	0.4	-0.140028008402801	SU2CLC2	NFT	42
Test	0.5844155844155845	0.474978706544132	0.6086956521739131	0.64	0.2774251285747237	Zhao	NFT	42
Test	0.4583333333333333	0.4991028390174353	0.6428571428571429	0.6153846153846154	0.2261904761904762	Hugo	NFT	42
Test	0.5	0.3263417225634695	0.5	0.5294117647058824	0.11769797726729993	MGH	NFT	42
Test	0.5739644970414202	0.3521855135720695	0.5161290322580646	0.6153846153846154	0.2182178902359924	Allen	NFT	42
Test	0.7727272727272728	0.6433295229675865	0.6153846153846153	0.7777777777777778	0.46313624586844604	Kim	NFT	42
Test	0.6	0.3324715922292445	0.47619047619047616	0.7843137254901961	0.341389166777308	Riaz	NFT	42
Test	0.7537878787878789	0.7644276097827459	0.7027027027027027	0.6986301369863014	0.4066525949915872	Gide	NFT	42
Test	0.5393835616438356	0.19467394891559042	0.339622641509434	0.6067415730337079	0.13941911797356227	Rose	NFT	42
Test	0.5859375	0.4299036915471878	0.5060240963855421	0.5980392156862745	0.17296501815952614	SU2CLC1	NFT	42
Test	0.49297856614929786	0.36977121068848007	0.5	0.5700934579439252	0.13309407626666037	Liu	NFT	42
Test	0.6691595441595442	0.4331255228125571	0.5042016806722689	0.6424242424242425	0.251870742818528	IMmotion150	NFT	42
Test	0.6432225063938619	0.3133655465761599	0.3979057591623037	0.6140939597315436	0.16132503077770308	IMVigor210	NFT	42
