	concept
0	IFNg_pathway
1	Cytotoxic_Tcell
2	Exhausted_Tcell
3	NKcell
4	Macrophage
5	Immune_checkpoint
6	Memory_Bcell
7	TGFb_pathway
8	CD4_Tcell
9	CD8_Tcell
10	Tcell_general
11	Pericyte
12	Naive_Bcell
13	Mesothelial
14	Memory_Tcell
15	pDC
16	Genome_integrity
17	Cell_proliferation
18	Bcell_general
19	Epithelial
20	Pancreatic
21	Myeloid
22	Plasma_cell
23	Cytokine
24	TLS
25	Monocyte
26	Erythrocyte
27	Innate_lymphoid_cell
28	Stem
29	Reference
30	Treg
31	CANCER
32	Stroma
33	cDC
34	Hepatocyte
35	Pneumocyte
36	Platelet
37	Granulocyte
38	Naive_Tcell
39	Endothelial
40	Apoptosis_pathway
41	Mast
42	Fibroblast
43	Adipocyte
