	concept
0	Cytotoxic_Tcell
1	Immune_checkpoint
2	IFNg_pathway
3	CD8_Tcell
4	NKcell
5	Memory_Bcell
6	Memory_Tcell
7	Tcell_general
8	Treg
9	CD4_Tcell
10	TLS
11	Apoptosis_pathway
12	Stroma
13	Reference
14	Plasma_cell
15	Pericyte
16	Naive_Tcell
17	cDC
18	TGFb_pathway
19	pDC
20	Fibroblast
21	Genome_integrity
22	Innate_lymphoid_cell
23	Bcell_general
24	Cell_proliferation
25	Exhausted_Tcell
26	Epithelial
27	Erythrocyte
28	Stem
29	Adipocyte
30	Pancreatic
31	Naive_Bcell
32	Hepatocyte
33	Myeloid
34	Monocyte
35	Mesothelial
36	Macrophage
37	Platelet
38	Pneumocyte
39	Granulocyte
40	Endothelial
41	Cytokine
42	Mast
