	concept
0	Macrophage
1	Exhausted_Tcell
2	IFNg_pathway
3	CD4_Tcell
4	TGFb_pathway
5	NKcell
6	Memory_Tcell
7	Genome_integrity
8	Cytotoxic_Tcell
9	CD8_Tcell
10	Naive_Tcell
11	Myeloid
12	Monocyte
13	Mesothelial
14	TLS
15	Tcell_general
16	Memory_Bcell
17	pDC
18	Cell_proliferation
19	Erythrocyte
20	Platelet
21	cDC
22	Bcell_general
23	Fibroblast
24	Epithelial
25	Endothelial
26	Naive_Bcell
27	Cytokine
28	Stroma
29	Pneumocyte
30	Plasma_cell
31	Immune_checkpoint
32	Treg
33	Pericyte
34	Pancreatic
35	Mast
36	Innate_lymphoid_cell
37	Reference
38	Stem
39	Granulocyte
40	CANCER
41	Apoptosis_pathway
42	Hepatocyte
43	Adipocyte
