	concept
0	IFNg_pathway
1	Cytotoxic_Tcell
2	Macrophage
3	NKcell
4	Exhausted_Tcell
5	Memory_Bcell
6	TGFb_pathway
7	CD4_Tcell
8	CD8_Tcell
9	Memory_Tcell
10	cDC
11	Stroma
12	Naive_Tcell
13	Naive_Bcell
14	Myeloid
15	pDC
16	Epithelial
17	Bcell_general
18	Genome_integrity
19	Cell_proliferation
20	Adipocyte
21	Platelet
22	Plasma_cell
23	Pericyte
24	Tcell_general
25	Cytokine
26	Endothelial
27	Erythrocyte
28	Monocyte
29	Mesothelial
30	Fibroblast
31	Apoptosis_pathway
32	Treg
33	Immune_checkpoint
34	Stem
35	TLS
36	CANCER
37	Hepatocyte
38	Reference
39	Pneumocyte
40	Granulocyte
41	Mast
42	Innate_lymphoid_cell
43	Pancreatic
