domain	index	NR	R	count
cancer_type	BLCA	317	91	408
cancer_type	SKCM	200	130	330
cancer_type	KIRC	142	56	198
cancer_type	LUAD	64	38	102
cancer_type	STAD	33	12	45
cancer_type	GBM	14	11	25
cancer_type	LUSC	17	8	25
ICI_target_map	PDL1	395	136	531
ICI_target_map	PD1	334	157	491
ICI_target_map	CTLA4	38	19	57
ICI_target_map	PD1+CTLA4	15	31	46
ICI_target_map	Other	5	3	8
ICI_map	Atezo	392	135	527
ICI_map	Pembro	167	92	259
ICI_map	Nivo	158	62	220
ICI_map	Ipi	26	13	39
ICI_map	Uknow	22	12	34
ICI_map	Ipi+Pembro	9	16	25
ICI_map	Ipi+Nivo	5	14	19
ICI_map	Other	8	2	10
sequencer	HiSeq2500	613	281	894
sequencer	NovaSeq6000	73	16	89
sequencer	HiSeq2000	46	32	78
sequencer	HiSeq2000/2500	41	10	51
sequencer	HiSeq4000	14	7	21
Biopsy_site	Bladder	190	56	246
Biopsy_site	Skin	137	92	229
Biopsy_site	Kidney	59	14	73
Biopsy_site	Lymph node	32	18	50
Biopsy_site	Ureter	28	7	35
Biopsy_site	Brain	20	14	34
Biopsy_site	Other	15	11	26
Biopsy_site	Lung	16	5	21
Biopsy_site	Mucosa	9	3	12
Biopsy_site	Ocular	9	3	12
Biopsy_site	Liver	7	4	11
Biopsy_site	Soft tissue	2	2	4
