	domain	group	train_cohort	test_cohort	mode	best_epoch	test_cohort_rgc	ROC	PRC	F1	ACC	MCC
0	cancer2cancer	Atezo_HiSeq2500	Atezo_HiSeq2500_BLCA	Atezo_HiSeq2500_KIRC	NFT	0	0.5874380165289257	0.6362179487179487	0.37591250424339107	0.03636363636363636	0.6787878787878788	-0.06861277703826778
1	cancer2cancer	Atezo_HiSeq2500	Atezo_HiSeq2500_KIRC	Atezo_HiSeq2500_BLCA	NFT	0	0.6477636142516103	0.5726342710997443	0.29510792939691566	0.3420074349442379	0.40604026845637586	0.002290644646024267
2	cancer2cancer	Nivo_HiSeq2000	Nivo_HiSeq2000_GBM	Nivo_HiSeq2000_KIRC	NFT	0	0.7551020408163265	0.5185185185185185	0.13404049654049655	0.2857142857142857	0.2857142857142857	0.16666666666666666
3	cancer2cancer	Nivo_HiSeq2000	Nivo_HiSeq2000_KIRC	Nivo_HiSeq2000_GBM	NFT	0	0.58	0.5357142857142858	0.3128626304322899	0.3636363636363636	0.65	0.12598815766974242
4	cancer2cancer	Nivo_HiSeq2500	Nivo_HiSeq2500_LUAD	Nivo_HiSeq2500_SKCM	NFT	0	0.5246913580246914	0.5670995670995671	0.44489936562299237	0.5882352941176471	0.48148148148148145	0.1947683487305688
5	cancer2cancer	Nivo_HiSeq2500	Nivo_HiSeq2500_SKCM	Nivo_HiSeq2500_LUAD	NFT	0	0.5351936693044566	0.589605734767025	0.42533969759582685	0.46808510638297873	0.4897959183673469	0.029882561716614093
6	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_LUAD	Pembro_HiSeq2500_SKCM	NFT	0	0.5144861928474422	0.6680652680652681	0.6433334972887924	0.5333333333333333	0.6276595744680851	0.22491999091485898
7	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_LUAD	Pembro_HiSeq2500_STAD	NFT	0	0.6088888888888889	0.7095959595959597	0.42267861023205827	0.5	0.6888888888888889	0.2869449118648753
8	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_SKCM	Pembro_HiSeq2500_LUAD	NFT	0	0.5775941230486685	0.8	0.6349308330558331	0.5625000000000001	0.5757575757575758	0.3263766828841098
9	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_SKCM	Pembro_HiSeq2500_STAD	NFT	0	0.6088888888888889	0.6590909090909091	0.3730227037975707	0.4736842105263157	0.5555555555555556	0.21026736927252318
10	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_STAD	Pembro_HiSeq2500_LUAD	NFT	0	0.5775941230486685	0.7391304347826086	0.552759417176862	0.5185185185185185	0.6060606060606061	0.2438829642589955
11	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_STAD	Pembro_HiSeq2500_SKCM	NFT	0	0.5144861928474422	0.6079254079254078	0.5148379772210371	0.5142857142857143	0.6382978723404256	0.23598389272126497
12	drug2drug	BLCA_NovaSeq6000	BLCA_NovaSeq6000_Atezo	BLCA_NovaSeq6000_Pembro	NFT	0	0.7419659735349716	0.4065934065934066	0.12222206102845201	0.25	0.4782608695652174	0.02377286555250982
13	drug2drug	BLCA_NovaSeq6000	BLCA_NovaSeq6000_Pembro	BLCA_NovaSeq6000_Atezo	NFT	0	0.6179591836734695	0.329059829059829	0.1842908377149733	0.2222222222222222	0.4	-0.21301305143216562
14	drug2drug	LUAD_HiSeq2500	LUAD_HiSeq2500_Nivo	LUAD_HiSeq2500_Pembro	NFT	0	0.5775941230486685	0.6521739130434783	0.55704182093295	0.5185185185185185	0.6060606060606061	0.2438829642589955
15	drug2drug	LUAD_HiSeq2500	LUAD_HiSeq2500_Pembro	LUAD_HiSeq2500_Nivo	NFT	0	0.5351936693044566	0.5555555555555556	0.39430035527335927	0.27586206896551724	0.5714285714285714	-0.0041411861732985
16	drug2drug	SKCM_HiSeq2500	SKCM_HiSeq2500_Ipi	SKCM_HiSeq2500_Nivo	NFT	0	0.5246913580246914	0.6421356421356421	0.5595203923706729	0.6153846153846153	0.7222222222222222	0.40291148201269017
17	drug2drug	SKCM_HiSeq2500	SKCM_HiSeq2500_Ipi	SKCM_HiSeq2500_Pembro	NFT	0	0.5144861928474422	0.6335664335664335	0.5523588311949787	0.5454545454545455	0.6276595744680851	0.23028499592237622
18	drug2drug	SKCM_HiSeq2500	SKCM_HiSeq2500_Nivo	SKCM_HiSeq2500_Ipi	NFT	0	0.5555555555555556	0.6893491124260356	0.4579570290760495	0.5945945945945945	0.6153846153846154	0.33541019662496846
19	drug2drug	SKCM_HiSeq2500	SKCM_HiSeq2500_Nivo	SKCM_HiSeq2500_Pembro	NFT	0	0.5144861928474422	0.6759906759906761	0.6617542351136778	0.5999999999999999	0.6170212765957447	0.2531275294251685
20	drug2drug	SKCM_HiSeq2500	SKCM_HiSeq2500_Pembro	SKCM_HiSeq2500_Ipi	NFT	0	0.5555555555555556	0.6597633136094674	0.4374988976937422	0.5333333333333333	0.6410256410256411	0.25594534844449573
21	drug2drug	SKCM_HiSeq2500	SKCM_HiSeq2500_Pembro	SKCM_HiSeq2500_Nivo	NFT	0	0.5246913580246914	0.6103896103896104	0.56398832560366	0.5	0.6296296296296297	0.20770247549870044
22	sequencer2sequencer	BLCA_Atezo	BLCA_Atezo_HiSeq2500	BLCA_Atezo_HiSeq4000	NFT	0	0.5555555555555555	0.4285714285714286	0.2762691673405959	0.0	0.6666666666666666	0.0
23	sequencer2sequencer	BLCA_Atezo	BLCA_Atezo_HiSeq2500	BLCA_Atezo_NovaSeq6000	NFT	0	0.6179591836734695	0.5085470085470085	0.24661494849337912	0.2857142857142857	0.7142857142857143	0.13344012817090595
24	sequencer2sequencer	BLCA_Atezo	BLCA_Atezo_HiSeq4000	BLCA_Atezo_HiSeq2500	NFT	0	0.6477636142516103	0.5019181585677749	0.22877301677555972	0.07058823529411765	0.7348993288590604	-0.030311351187141
25	sequencer2sequencer	BLCA_Atezo	BLCA_Atezo_HiSeq4000	BLCA_Atezo_NovaSeq6000	NFT	0	0.6179591836734695	0.7051282051282051	0.4751737695260451	0.42857142857142855	0.7714285714285715	0.32025630761017426
26	sequencer2sequencer	BLCA_Atezo	BLCA_Atezo_NovaSeq6000	BLCA_Atezo_HiSeq2500	NFT	0	0.6477636142516103	0.5106777493606138	0.24074974618098552	0.2838709677419355	0.62751677852349	0.03777119678016348
27	sequencer2sequencer	BLCA_Atezo	BLCA_Atezo_NovaSeq6000	BLCA_Atezo_HiSeq4000	NFT	0	0.5555555555555555	0.7040816326530612	0.49975656929438433	0.5263157894736842	0.5714285714285714	0.2041241452319315
