	domain	group	train_cohort	test_cohort	mode	best_C	test_cohort_rgc	ROC	PRC	F1	ACC	MCC
0	cancer2cancer	(Atezo,HiSeq2500)	(Atezo,HiSeq2500)BLCA	(Atezo,HiSeq2500)KIRC	NRS	0.1	0.5874380165289257	0.4223646723646724	0.24737055060514318	0.3255813953488372	0.4727272727272727	-0.06842970461934744
1	cancer2cancer	(Atezo,HiSeq2500)	(Atezo,HiSeq2500)KIRC	(Atezo,HiSeq2500)BLCA	NRS	0.1	0.6477636142516103	0.4890025575447571	0.22734675085596778	0.2794759825327511	0.4463087248322148	-0.076022666905788
2	cancer2cancer	(Nivo,HiSeq2000)	(Nivo,HiSeq2000)GBM	(Nivo,HiSeq2000)KIRC	NRS	0.1	0.7551020408163265	0.7962962962962963	0.5204545454545455	0.4	0.5714285714285714	0.35355339059327373
3	cancer2cancer	(Nivo,HiSeq2000)	(Nivo,HiSeq2000)KIRC	(Nivo,HiSeq2000)GBM	NRS	0.1	0.58	0.5	0.28394716273005743	0.42857142857142855	0.6	0.1336306209562122
4	cancer2cancer	(Nivo,HiSeq2500)	(Nivo,HiSeq2500)LUAD	(Nivo,HiSeq2500)SKCM	NRS	0.1	0.5246913580246914	0.3881673881673881	0.3535719308283674	0.3137254901960784	0.35185185185185186	-0.2803059552906941
5	cancer2cancer	(Nivo,HiSeq2500)	(Nivo,HiSeq2500)SKCM	(Nivo,HiSeq2500)LUAD	NRS	0.1	0.5351936693044566	0.4139784946236559	0.33351996250802163	0.3	0.42857142857142855	-0.17716986318620467
6	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)LUAD	(Pembro,HiSeq2500)SKCM	NRS	0.1	0.5144861928474422	0.5850815850815851	0.5330199707478727	0.48192771084337344	0.5425531914893617	0.07549511645532787
7	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)LUAD	(Pembro,HiSeq2500)STAD	NRS	0.1	0.6088888888888889	0.696969696969697	0.4436600344189059	0.5161290322580646	0.6666666666666666	0.2984440079997103
8	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)SKCM	(Pembro,HiSeq2500)LUAD	NRS	0.1	0.5775941230486685	0.6695652173913044	0.4236858620769911	0.48275862068965514	0.5454545454545454	0.16575976425014255
9	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)SKCM	(Pembro,HiSeq2500)STAD	NRS	0.1	0.6088888888888889	0.696969696969697	0.4436600344189059	0.5	0.6444444444444445	0.26967994498529685
10	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)STAD	(Pembro,HiSeq2500)LUAD	NRS	0.1	0.5775941230486685	0.6695652173913044	0.4236858620769911	0.5185185185185185	0.6060606060606061	0.2438829642589955
11	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)STAD	(Pembro,HiSeq2500)SKCM	NRS	0.1	0.5144861928474422	0.5850815850815851	0.5330199707478727	0.46341463414634154	0.5319148936170213	0.05025664974015184
12	drug2drug	(BLCA,NovaSeq6000)	(BLCA,NovaSeq6000)Atezo	(BLCA,NovaSeq6000)Pembro	NRS	0.1	0.7419659735349716	0.43223443223443214	0.12923611415669567	0.26666666666666666	0.5217391304347826	0.06052275326688024
13	drug2drug	(BLCA,NovaSeq6000)	(BLCA,NovaSeq6000)Pembro	(BLCA,NovaSeq6000)Atezo	NRS	0.1	0.6179591836734695	0.32905982905982906	0.19883417189043784	0.08695652173913043	0.4	-0.3469443332443555
14	drug2drug	(LUAD,HiSeq2500)	(LUAD,HiSeq2500)Nivo	(LUAD,HiSeq2500)Pembro	NRS	0.1	0.5775941230486685	0.33043478260869563	0.23420470035182636	0.2608695652173913	0.48484848484848486	-0.12676842711697725
15	drug2drug	(LUAD,HiSeq2500)	(LUAD,HiSeq2500)Pembro	(LUAD,HiSeq2500)Nivo	NRS	0.1	0.5351936693044566	0.4139784946236559	0.33351996250802163	0.32558139534883723	0.40816326530612246	-0.18492305222692584
16	drug2drug	(SKCM,HiSeq2500)	(SKCM,HiSeq2500)Ipi	(SKCM,HiSeq2500)Nivo	NRS	0.1	0.5246913580246914	0.6118326118326117	0.5569957308923283	0.5909090909090909	0.6666666666666666	0.3115535703854233
17	drug2drug	(SKCM,HiSeq2500)	(SKCM,HiSeq2500)Ipi	(SKCM,HiSeq2500)Pembro	NRS	0.1	0.5144861928474422	0.5850815850815851	0.5330199707478727	0.48192771084337344	0.5425531914893617	0.07549511645532787
18	drug2drug	(SKCM,HiSeq2500)	(SKCM,HiSeq2500)Nivo	(SKCM,HiSeq2500)Ipi	NRS	0.1	0.5555555555555556	0.6153846153846154	0.38915635333998405	0.45161290322580644	0.5641025641025641	0.1091089451179962
19	drug2drug	(SKCM,HiSeq2500)	(SKCM,HiSeq2500)Nivo	(SKCM,HiSeq2500)Pembro	NRS	0.1	0.5144861928474422	0.5850815850815851	0.5330199707478727	0.48192771084337344	0.5425531914893617	0.07549511645532787
20	drug2drug	(SKCM,HiSeq2500)	(SKCM,HiSeq2500)Pembro	(SKCM,HiSeq2500)Ipi	NRS	0.1	0.5555555555555556	0.6153846153846154	0.38915635333998405	0.45161290322580644	0.5641025641025641	0.1091089451179962
21	drug2drug	(SKCM,HiSeq2500)	(SKCM,HiSeq2500)Pembro	(SKCM,HiSeq2500)Nivo	NRS	0.1	0.5246913580246914	0.6118326118326117	0.5569957308923283	0.5909090909090909	0.6666666666666666	0.3115535703854233
22	sequencer2sequencer	(BLCA,Atezo)	(BLCA,Atezo)HiSeq2500	(BLCA,Atezo)HiSeq4000	NRS	0.1	0.5555555555555555	0.33673469387755106	0.25034462165432975	0.26666666666666666	0.47619047619047616	-0.1386750490563073
23	sequencer2sequencer	(BLCA,Atezo)	(BLCA,Atezo)HiSeq2500	(BLCA,Atezo)NovaSeq6000	NRS	0.1	0.6179591836734695	0.32905982905982906	0.19883417189043784	0.16	0.4	-0.2774514502439393
24	sequencer2sequencer	(BLCA,Atezo)	(BLCA,Atezo)HiSeq4000	(BLCA,Atezo)HiSeq2500	NRS	0.1	0.6477636142516103	0.4890025575447571	0.22734675085596778	0.27802690582959644	0.4597315436241611	-0.06992922933338429
25	sequencer2sequencer	(BLCA,Atezo)	(BLCA,Atezo)HiSeq4000	(BLCA,Atezo)NovaSeq6000	NRS	0.1	0.6179591836734695	0.6709401709401709	0.4902377397475436	0.5185185185185185	0.6285714285714286	0.31017689945385524
26	sequencer2sequencer	(BLCA,Atezo)	(BLCA,Atezo)NovaSeq6000	(BLCA,Atezo)HiSeq2500	NRS	0.1	0.6477636142516103	0.4890025575447571	0.22734675085596778	0.28703703703703703	0.48322147651006714	-0.04432871944742671
27	sequencer2sequencer	(BLCA,Atezo)	(BLCA,Atezo)NovaSeq6000	(BLCA,Atezo)HiSeq4000	NRS	0.1	0.5555555555555555	0.6632653061224489	0.42509670534880617	0.5263157894736842	0.5714285714285714	0.2041241452319315
28	sequencer2sequencer	(SKCM,Nivo)	(SKCM,Nivo)HiSeq2000/2500	(SKCM,Nivo)HiSeq2500	NRS	0.1	0.5246913580246914	0.6118326118326117	0.5569957308923283	0.6046511627906977	0.6851851851851852	0.34360406637202473
29	sequencer2sequencer	(SKCM,Nivo)	(SKCM,Nivo)HiSeq2500	(SKCM,Nivo)HiSeq2000/2500	NRS	0.1	0.6847366397539408	0.6219512195121951	0.4195485090295511	0.33333333333333337	0.5294117647058824	0.08910646708599686
30	sequencer2sequencer	(SKCM,Pembro)	(SKCM,Pembro)HiSeq2000	(SKCM,Pembro)HiSeq2500	NRS	0.1	0.5144861928474422	0.41491841491841497	0.3639822640627405	0.4090909090909091	0.44680851063829785	-0.10069923462778438
