Index,UMAP1,UMAP2,sequencer
IMVigor210-0257bb-ar-0257bbb,10.985098,9.291971,HiSeq2500
IMVigor210-025b45-ar-025b45c,11.432464,10.716037,HiSeq2500
IMVigor210-032c64-ar-032c642,14.227079,8.012131,HiSeq2500
IMVigor210-0571f1-ar-0571f17,14.0894,5.790168,HiSeq2500
IMVigor210-065890-ar-0658907,12.011793,7.861319,HiSeq2500
IMVigor210-0684af-ar-0684af7,11.157484,4.6609163,HiSeq2500
IMVigor210-075e03-ar-075e037,11.633901,4.3915987,HiSeq2500
IMVigor210-07a93a-ar-07a93a2,10.223974,7.6869407,HiSeq2500
IMVigor210-08cce2-ar-08cce2f,11.169138,6.828938,HiSeq2500
IMVigor210-09c84e-ar-09c84ec,11.417581,5.032908,HiSeq2500
IMVigor210-0a0f2b-ar-0a0f2ba,12.787578,7.672225,HiSeq2500
IMVigor210-0a7c20-ar-0a7c209,13.328193,7.765114,HiSeq2500
IMVigor210-0bdb34-ar-0bdb342,10.953138,11.139673,HiSeq2500
IMVigor210-0ce9c9-ar-0ce9c98,13.793389,10.784201,HiSeq2500
IMVigor210-0d855c-ar-0d855cf,13.666143,6.2866464,HiSeq2500
IMVigor210-0f956e-ar-0f956e7,12.746122,8.1596365,HiSeq2500
IMVigor210-110501-ar-110501d,11.254379,9.6114025,HiSeq2500
IMVigor210-12502d-ar-12502d9,10.392799,10.207239,HiSeq2500
IMVigor210-149386-ar-1493861,11.131181,8.991812,HiSeq2500
IMVigor210-14df63-ar-14df63a,9.901818,6.6924577,HiSeq2500
IMVigor210-166a41-ar-166a419,15.387073,10.6195345,HiSeq2500
IMVigor210-180398-ar-1803982,10.502592,7.065441,HiSeq2500
IMVigor210-181b63-ar-181b638,15.040091,10.278385,HiSeq2500
IMVigor210-187e05-ar-187e056,10.730634,9.926335,HiSeq2500
IMVigor210-18a4da-ar-18a4dab,13.621122,6.6858172,HiSeq2500
IMVigor210-18b935-ar-18b9351,14.723131,10.513248,HiSeq2500
IMVigor210-18bc10-ar-18bc107,11.536038,8.496515,HiSeq2500
IMVigor210-18be5b-ar-18be5b3,11.660735,7.635976,HiSeq2500
IMVigor210-19fec8-ar-19fec8f,13.708268,8.043354,HiSeq2500
IMVigor210-1a87df-ar-1a87df7,13.378989,8.029289,HiSeq2500
IMVigor210-1ab1b2-ar-1ab1b28,10.933599,10.715783,HiSeq2500
IMVigor210-1abf01-ar-1abf01d,11.484563,9.833569,HiSeq2500
IMVigor210-1ac4e3-ar-1ac4e3d,10.982577,4.920664,HiSeq2500
IMVigor210-1c0ecf-ar-1c0ecfb,14.599644,10.23899,HiSeq2500
IMVigor210-1c8b08-ar-1c8b086,11.64479,11.095923,HiSeq2500
IMVigor210-1dda30-ar-1dda30f,10.376792,10.474964,HiSeq2500
IMVigor210-1e9c4d-ar-1e9c4d1,13.075437,7.3635674,HiSeq2500
IMVigor210-1f66db-ar-1f66db5,14.508921,8.827504,HiSeq2500
IMVigor210-1f83eb-ar-1f83ebd,11.080455,8.112091,HiSeq2500
IMVigor210-1fa6bc-ar-1fa6bcb,11.356029,8.421795,HiSeq2500
IMVigor210-203dcf-ar-203dcf1,13.817724,9.868737,HiSeq2500
IMVigor210-2070b4-ar-2070b41,11.728477,9.734515,HiSeq2500
IMVigor210-230959-ar-2309593,9.786699,6.7344384,HiSeq2500
IMVigor210-23aa15-ar-23aa15d,12.073312,7.7690716,HiSeq2500
IMVigor210-25510f-ar-25510f3,11.84158,6.17479,HiSeq2500
IMVigor210-2570ff-ar-2570ff4,13.115249,10.1907425,HiSeq2500
IMVigor210-26104d-ar-26104d5,11.033776,11.138508,HiSeq2500
IMVigor210-262422-ar-2624229,12.995908,10.956117,HiSeq2500
IMVigor210-27299a-ar-27299ae,9.734052,6.4542894,HiSeq2500
IMVigor210-286870-ar-2868703,14.608637,9.480297,HiSeq2500
IMVigor210-28e603-ar-28e6031,11.590193,4.1220374,HiSeq2500
IMVigor210-297c03-ar-297c030,15.102805,9.80601,HiSeq2500
IMVigor210-29da92-ar-29da928,12.102141,9.950564,HiSeq2500
IMVigor210-2b672f-ar-2b672f4,11.544961,10.552761,HiSeq2500
IMVigor210-2bba8c-ar-2bba8cb,11.791813,9.735053,HiSeq2500
IMVigor210-2c9586-ar-2c95861,10.827335,5.172499,HiSeq2500
IMVigor210-2dc3f0-ar-2dc3f04,13.565109,8.751535,HiSeq2500
IMVigor210-2e7aa8-ar-2e7aa8f,12.736179,6.826122,HiSeq2500
IMVigor210-2e9ac0-ar-2e9ac0b,13.3027,8.177482,HiSeq2500
IMVigor210-2eb07d-ar-2eb07de,13.692956,7.876856,HiSeq2500
IMVigor210-2f2289-ar-2f22893,12.389427,8.832198,HiSeq2500
IMVigor210-30b5c6-ar-30b5c6c,13.69962,6.5849624,HiSeq2500
IMVigor210-30cf07-ar-30cf07d,15.032494,10.976915,HiSeq2500
IMVigor210-31d917-ar-31d9176,13.2697735,8.701791,HiSeq2500
IMVigor210-31f41d-ar-31f41dd,13.027703,8.1363125,HiSeq2500
IMVigor210-3330c0-ar-3330c03,13.819736,5.5439324,HiSeq2500
IMVigor210-34430e-ar-34430ef,14.509461,10.783384,HiSeq2500
IMVigor210-36851b-ar-36851bc,12.004376,10.227324,HiSeq2500
IMVigor210-36a922-ar-36a9225,14.133845,10.407377,HiSeq2500
IMVigor210-36d873-ar-36d8739,12.934547,7.4101753,HiSeq2500
IMVigor210-3894ac-ar-3894ac3,10.803174,10.212686,HiSeq2500
IMVigor210-39eb94-ar-39eb94f,13.216892,7.685901,HiSeq2500
IMVigor210-3a1c96-ar-3a1c963,10.32999,6.781882,HiSeq2500
IMVigor210-3b1066-ar-3b1066e,13.6649,5.9084496,HiSeq2500
IMVigor210-3b15b4-ar-3b15b4c,14.205091,7.859765,HiSeq2500
IMVigor210-3cb94b-ar-3cb94b0,12.56508,11.176124,HiSeq2500
IMVigor210-3e04eb-ar-3e04eb9,13.708274,7.3900614,HiSeq2500
IMVigor210-3e8baf-ar-3e8baff,11.667246,5.1424866,HiSeq2500
IMVigor210-3ee5dc-ar-3ee5dcd,13.35179,6.148138,HiSeq2500
IMVigor210-415f36-ar-415f36a,15.179221,9.752596,HiSeq2500
IMVigor210-4305ab-ar-4305ab9,11.797319,4.128288,HiSeq2500
IMVigor210-4501e4-ar-4501e41,13.602749,11.085915,HiSeq2500
IMVigor210-45c8e6-ar-45c8e64,14.648768,7.0304713,HiSeq2500
IMVigor210-468a9e-ar-468a9e1,11.715795,5.5109196,HiSeq2500
IMVigor210-47fc46-ar-47fc46c,14.158829,8.949327,HiSeq2500
IMVigor210-49d487-ar-49d4875,11.61628,10.96391,HiSeq2500
IMVigor210-49f9b2-ar-49f9b2e,10.378221,7.8685894,HiSeq2500
IMVigor210-4b0175-ar-4b0175e,12.999112,11.111604,HiSeq2500
IMVigor210-4b7ea0-ar-4b7ea01,9.918559,6.552198,HiSeq2500
IMVigor210-4caabd-ar-4caabd6,10.786388,9.353244,HiSeq2500
IMVigor210-523468-ar-5234688,9.98669,6.4319334,HiSeq2500
IMVigor210-52500c-ar-52500ca,10.519609,8.723873,HiSeq2500
IMVigor210-52e3fa-ar-52e3fa3,13.939087,5.778586,HiSeq2500
IMVigor210-548551-ar-548551e,11.386489,5.541113,HiSeq2500
IMVigor210-54e58f-ar-54e58f1,11.944535,4.5501413,HiSeq2500
IMVigor210-553c3c-ar-553c3c3,13.704487,10.870479,HiSeq2500
IMVigor210-557dde-ar-557dde1,12.794004,10.593358,HiSeq2500
IMVigor210-560f23-ar-560f23d,14.655273,6.4289846,HiSeq2500
IMVigor210-563d62-ar-563d623,11.433627,4.9098945,HiSeq2500
IMVigor210-568ce1-ar-568ce16,12.617558,11.2555275,HiSeq2500
IMVigor210-572f19-ar-572f197,11.223238,9.608893,HiSeq2500
IMVigor210-5767dd-ar-5767dd7,12.336481,7.835582,HiSeq2500
IMVigor210-58e783-ar-58e7832,11.035643,4.6829376,HiSeq2500
IMVigor210-59f392-ar-59f3928,14.565771,10.254597,HiSeq2500
IMVigor210-59fda9-ar-59fda90,12.83795,8.292346,HiSeq2500
IMVigor210-5a2347-ar-5a2347c,10.385603,7.4831505,HiSeq2500
IMVigor210-5b57e4-ar-5b57e47,11.741881,9.756741,HiSeq2500
IMVigor210-5c139c-ar-5c139c5,11.377362,9.639922,HiSeq2500
IMVigor210-5cc2d9-ar-5cc2d90,10.196687,10.38276,HiSeq2500
IMVigor210-5cfa16-ar-5cfa169,12.308794,7.6258783,HiSeq2500
IMVigor210-5d1dfd-ar-5d1dfd5,10.474995,5.8152432,HiSeq2500
IMVigor210-5d989c-ar-5d989c8,10.831261,10.882065,HiSeq2500
IMVigor210-5e3bae-ar-5e3bae0,10.9656105,9.77066,HiSeq2500
IMVigor210-5fe7a8-ar-5fe7a81,13.311818,9.832804,HiSeq2500
IMVigor210-6083aa-ar-6083aac,11.8583765,8.201935,HiSeq2500
IMVigor210-6157c8-ar-6157c8f,12.627911,10.777369,HiSeq2500
IMVigor210-61b9d4-ar-61b9d4d,11.533808,8.825762,HiSeq2500
IMVigor210-61baf9-ar-61baf91,12.783671,8.268287,HiSeq2500
IMVigor210-62fb13-ar-62fb138,10.378186,8.097117,HiSeq2500
IMVigor210-63405b-ar-63405b0,14.145288,10.33475,HiSeq2500
IMVigor210-63b218-ar-63b2189,10.328469,7.0413094,HiSeq2500
IMVigor210-65afda-ar-65afda2,15.055453,10.515461,HiSeq2500
IMVigor210-6662f5-ar-6662f51,11.483965,9.1037445,HiSeq2500
IMVigor210-670649-ar-670649e,12.455099,8.342974,HiSeq2500
IMVigor210-675a12-ar-675a12a,10.9227495,10.994405,HiSeq2500
IMVigor210-6780ed-ar-6780ed4,13.636353,8.283615,HiSeq2500
IMVigor210-6792d6-ar-6792d6e,10.383218,5.7046394,HiSeq2500
IMVigor210-681e4b-ar-681e4bf,10.552744,7.276377,HiSeq2500
IMVigor210-6964a6-ar-6964a6d,10.206128,6.1997805,HiSeq2500
