	concept
0	IFNg_pathway
1	Immune_checkpoint
2	CD8_Tcell
3	Cytotoxic_Tcell
4	Memory_Bcell
5	Fibroblast
6	NKcell
7	Naive_Tcell
8	Innate_lymphoid_cell
9	Pericyte
10	Plasma_cell
11	Stroma
12	TGFb_pathway
13	Tcell_general
14	Endothelial
15	Treg
16	CD4_Tcell
17	Bcell_general
18	Memory_Tcell
19	Monocyte
20	TLS
21	cDC
22	Naive_Bcell
23	Adipocyte
24	Mesothelial
25	Genome_integrity
26	Cell_proliferation
27	Epithelial
28	Erythrocyte
29	Exhausted_Tcell
30	pDC
31	Hepatocyte
32	Apoptosis_pathway
33	Granulocyte
34	Platelet
35	Myeloid
36	Reference
37	Stem
38	Pancreatic
39	Macrophage
40	Mast
41	Cytokine
42	Pneumocyte
