	ROC	PRC	F1	ACC	cohort	mode	seed
Test	0.17948717948717946	0.11093559218559218	0.18181818181818182	0.4375	Choueiri	TIDE	
Test	0.65	0.3965277777777778	0.4615384615384615	0.5882352941176471	Miao	TIDE	
Test	0.6020408163265306	0.35089553303839016	0.5	0.6190476190476191	Snyder	TIDE	
Test	0.6558441558441559	0.7045570160031913	0.6363636363636364	0.68	Zhao	TIDE	
Test	0.2261904761904762	0.38889731250551773	0.3846153846153846	0.38461538461538464	Hugo	TIDE	
Test	0.6111111111111112	0.5438927083557922	0.5217391304347826	0.6071428571428571	SU2CLC2	TIDE	
Test	0.22023809523809523	0.24630747311070927	0.19999999999999998	0.3684210526315789	MGH	TIDE	
Test	0.9940828402366864	0.9881304592843052	0.9285714285714286	0.9487179487179487	Allen	TIDE	
Test	0.08585858585858586	0.1516763495473507	0.13333333333333333	0.4222222222222222	Kim	TIDE	
Test	0.2	0.12086061329840628	0.06451612903225806	0.43137254901960786	Riaz	TIDE	
Test	0.6280303030303029	0.7590584223135913	0.5352112676056339	0.547945205479452	Gide	TIDE	
Test	0.1977739726027397	0.1089509947294454	0.13333333333333333	0.4157303370786517	Rose	TIDE	
Test	0.6266447368421053	0.4857541323904697	0.5681818181818182	0.6274509803921569	SU2CLC1	TIDE	
Test	0.5147819660014782	0.42400719981701696	0.4	0.4953271028037383	Liu	TIDE	
Test	0.353988603988604	0.22105672497310605	0.35384615384615387	0.4909090909090909	IMmotion150	TIDE	
Test	0.2959079283887468	0.15810049515235028	0.24074074074074078	0.44966442953020136	IMVigor210	TIDE	
