	domain	group	train_cohort	test_cohort	mode	best_epoch	test_cohort_rgc	ROC	PRC	F1	ACC	MCC
0	cancer2cancer	Atezo_HiSeq2500	Atezo_HiSeq2500_BLCA	Atezo_HiSeq2500_KIRC	FFT	5	0.5874380165289257	0.6435185185185185	0.39879103722734277	0.07547169811320754	0.703030303030303	0.042460388780422346
1	cancer2cancer	Atezo_HiSeq2500	Atezo_HiSeq2500_KIRC	Atezo_HiSeq2500_BLCA	FFT	9	0.6477636142516103	0.49571611253196934	0.22967078886269718	0.05263157894736842	0.7583892617449665	0.008632587256902633
2	cancer2cancer	Nivo_HiSeq2000	Nivo_HiSeq2000_GBM	Nivo_HiSeq2000_KIRC	FFT	1	0.7551020408163265	0.537037037037037	0.14005901505901505	0.25	0.14285714285714285	0.0
3	cancer2cancer	Nivo_HiSeq2000	Nivo_HiSeq2000_KIRC	Nivo_HiSeq2000_GBM	FFT	9	0.58	0.4642857142857143	0.2930213605910201	0.0	0.6	-0.21821789023599236
4	cancer2cancer	Nivo_HiSeq2500	Nivo_HiSeq2500_LUAD	Nivo_HiSeq2500_SKCM	FFT	8	0.5246913580246914	0.6911976911976913	0.6475819356477943	0.5555555555555556	0.5555555555555556	0.16883116883116883
5	cancer2cancer	Nivo_HiSeq2500	Nivo_HiSeq2500_SKCM	Nivo_HiSeq2500_LUAD	FFT	8	0.5351936693044566	0.5806451612903226	0.4647781381307712	0.0	0.6326530612244898	0.0
6	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_LUAD	Pembro_HiSeq2500_SKCM	FFT	8	0.5144861928474422	0.7184149184149183	0.6365169604191387	0.13953488372093026	0.6063829787234043	0.14338563581977296
7	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_LUAD	Pembro_HiSeq2500_STAD	FFT	8	0.6088888888888889	0.6969696969696969	0.42624721958734807	0.5333333333333333	0.6888888888888889	0.3282439759448873
8	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_SKCM	Pembro_HiSeq2500_LUAD	FFT	3	0.5775941230486685	0.7217391304347827	0.5421517796508543	0.5806451612903225	0.6060606060606061	0.36137247005243944
9	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_SKCM	Pembro_HiSeq2500_STAD	FFT	3	0.6088888888888889	0.6742424242424242	0.4879914149587555	0.23529411764705882	0.7111111111111111	0.10660035817780522
10	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_STAD	Pembro_HiSeq2500_LUAD	FFT	3	0.5775941230486685	0.7608695652173914	0.5649332270308778	0.588235294117647	0.7878787878787878	0.4643270590580855
11	cancer2cancer	Pembro_HiSeq2500	Pembro_HiSeq2500_STAD	Pembro_HiSeq2500_SKCM	FFT	3	0.5144861928474422	0.641958041958042	0.5906340074272325	0.0	0.5851063829787234	0.0
12	drug2drug	BLCA_NovaSeq6000	BLCA_NovaSeq6000_Atezo	BLCA_NovaSeq6000_Pembro	FFT	6	0.7419659735349716	0.44688644688644685	0.1349213868551637	0.0	0.7391304347826086	-0.1479482356274173
13	drug2drug	BLCA_NovaSeq6000	BLCA_NovaSeq6000_Pembro	BLCA_NovaSeq6000_Atezo	FFT	9	0.6179591836734695	0.6282051282051282	0.3152191419620862	0.0	0.6857142857142857	-0.14484136487558028
14	drug2drug	LUAD_HiSeq2500	LUAD_HiSeq2500_Nivo	LUAD_HiSeq2500_Pembro	FFT	8	0.5775941230486685	0.6086956521739131	0.35271370922983825	0.33333333333333326	0.6363636363636364	0.08858795678282981
15	drug2drug	LUAD_HiSeq2500	LUAD_HiSeq2500_Pembro	LUAD_HiSeq2500_Nivo	FFT	8	0.5351936693044566	0.5519713261648745	0.46969814940695764	0.25	0.6326530612244898	0.10278687311773489
16	drug2drug	SKCM_HiSeq2500	SKCM_HiSeq2500_Ipi	SKCM_HiSeq2500_Nivo	FFT	9	0.5246913580246914	0.6349206349206349	0.6360764709994662	0.5185185185185185	0.5185185185185185	0.09090909090909091
