	domain	group	train_cohort	test_cohort	mode	best_C	test_cohort_rgc	ROC	PRC	F1	ACC	MCC
0	cancer2cancer	(Atezo,HiSeq2500)	(Atezo,HiSeq2500)BLCA	(Atezo,HiSeq2500)KIRC	IS	0.1	0.5874380165289257	0.6451210826210826	0.3825916999050965	0.48437500000000006	0.6	0.2063204036792265
1	cancer2cancer	(Atezo,HiSeq2500)	(Atezo,HiSeq2500)KIRC	(Atezo,HiSeq2500)BLCA	IS	0.1	0.6477636142516103	0.5406649616368286	0.2637586196115098	0.34862385321100914	0.5234899328859061	0.0603214051560625
2	cancer2cancer	(Nivo,HiSeq2000)	(Nivo,HiSeq2000)GBM	(Nivo,HiSeq2000)KIRC	IS	0.1	0.7551020408163265	0.2407407407407407	0.09066764132553606	0.0	0.42857142857142855	-0.35355339059327373
3	cancer2cancer	(Nivo,HiSeq2000)	(Nivo,HiSeq2000)KIRC	(Nivo,HiSeq2000)GBM	IS	0.1	0.58	0.42857142857142855	0.2584975510672105	0.37499999999999994	0.5	0.0
4	cancer2cancer	(Nivo,HiSeq2500)	(Nivo,HiSeq2500)LUAD	(Nivo,HiSeq2500)SKCM	IS	0.1	0.5246913580246914	0.6132756132756133	0.5468483946405239	0.5531914893617021	0.6111111111111112	0.21963031851023068
5	cancer2cancer	(Nivo,HiSeq2500)	(Nivo,HiSeq2500)SKCM	(Nivo,HiSeq2500)LUAD	IS	0.1	0.5351936693044566	0.521505376344086	0.5080374054629859	0.358974358974359	0.4897959183673469	-0.06110296459223054
6	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)LUAD	(Pembro,HiSeq2500)SKCM	IS	0.1	0.5144861928474422	0.6261072261072261	0.6215948932233665	0.5	0.574468085106383	0.13015558499507263
7	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)LUAD	(Pembro,HiSeq2500)STAD	IS	0.1	0.6088888888888889	0.8232323232323231	0.756882476076555	0.6	0.7333333333333333	0.43082021842766455
8	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)SKCM	(Pembro,HiSeq2500)LUAD	IS	0.1	0.5775941230486685	0.808695652173913	0.5353267565767565	0.6666666666666667	0.7272727272727273	0.5077563354244661
9	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)SKCM	(Pembro,HiSeq2500)STAD	IS	0.1	0.6088888888888889	0.8232323232323231	0.756882476076555	0.625	0.7333333333333333	0.47193990372426947
10	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)STAD	(Pembro,HiSeq2500)LUAD	IS	0.1	0.5775941230486685	0.808695652173913	0.5353267565767565	0.6666666666666666	0.7575757575757576	0.5013222138296994
11	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)STAD	(Pembro,HiSeq2500)SKCM	IS	0.1	0.5144861928474422	0.6261072261072261	0.6215948932233665	0.48717948717948717	0.574468085106383	0.12354312354312354
12	drug2drug	(BLCA,NovaSeq6000)	(BLCA,NovaSeq6000)Atezo	(BLCA,NovaSeq6000)Pembro	IS	0.1	0.7419659735349716	0.4505494505494505	0.1314966726834734	0.24	0.5869565217391305	0.032350772404131305
13	drug2drug	(BLCA,NovaSeq6000)	(BLCA,NovaSeq6000)Pembro	(BLCA,NovaSeq6000)Atezo	IS	0.1	0.6179591836734695	0.20940170940170938	0.16506183543041064	0.16666666666666669	0.42857142857142855	-0.2453266907313291
14	drug2drug	(LUAD,HiSeq2500)	(LUAD,HiSeq2500)Nivo	(LUAD,HiSeq2500)Pembro	IS	0.1	0.5775941230486685	0.808695652173913	0.5353267565767565	0.6666666666666667	0.7272727272727273	0.5077563354244661
15	drug2drug	(LUAD,HiSeq2500)	(LUAD,HiSeq2500)Pembro	(LUAD,HiSeq2500)Nivo	IS	0.1	0.5351936693044566	0.521505376344086	0.5080374054629859	0.3243243243243243	0.4897959183673469	-0.08511119927611437
16	drug2drug	(SKCM,HiSeq2500)	(SKCM,HiSeq2500)Ipi	(SKCM,HiSeq2500)Nivo	IS	0.1	0.5246913580246914	0.6132756132756133	0.5468483946405239	0.5531914893617021	0.6111111111111112	0.21963031851023068
17	drug2drug	(SKCM,HiSeq2500)	(SKCM,HiSeq2500)Ipi	(SKCM,HiSeq2500)Pembro	IS	0.1	0.5144861928474422	0.6261072261072261	0.6215948932233665	0.5238095238095238	0.574468085106383	0.14392173716208453
18	drug2drug	(SKCM,HiSeq2500)	(SKCM,HiSeq2500)Nivo	(SKCM,HiSeq2500)Ipi	IS	0.1	0.5555555555555556	0.6331360946745562	0.3913046882184203	0.5161290322580646	0.6153846153846154	0.2182178902359924
19	drug2drug	(SKCM,HiSeq2500)	(SKCM,HiSeq2500)Nivo	(SKCM,HiSeq2500)Pembro	IS	0.1	0.5144861928474422	0.6261072261072261	0.6215948932233665	0.5238095238095238	0.574468085106383	0.14392173716208453
20	drug2drug	(SKCM,HiSeq2500)	(SKCM,HiSeq2500)Pembro	(SKCM,HiSeq2500)Ipi	IS	0.1	0.5555555555555556	0.6331360946745562	0.3913046882184203	0.5161290322580646	0.6153846153846154	0.2182178902359924
21	drug2drug	(SKCM,HiSeq2500)	(SKCM,HiSeq2500)Pembro	(SKCM,HiSeq2500)Nivo	IS	0.1	0.5246913580246914	0.6132756132756133	0.5468483946405239	0.5531914893617021	0.6111111111111112	0.21963031851023068
22	sequencer2sequencer	(BLCA,Atezo)	(BLCA,Atezo)HiSeq2500	(BLCA,Atezo)HiSeq4000	IS	0.1	0.5555555555555555	0.653061224489796	0.3915690518631695	0.5	0.6190476190476191	0.2041241452319315
23	sequencer2sequencer	(BLCA,Atezo)	(BLCA,Atezo)HiSeq2500	(BLCA,Atezo)NovaSeq6000	IS	0.1	0.6179591836734695	0.7905982905982906	0.7349606225614291	0.5	0.6	0.2774514502439393
24	sequencer2sequencer	(BLCA,Atezo)	(BLCA,Atezo)HiSeq4000	(BLCA,Atezo)HiSeq2500	IS	0.1	0.6477636142516103	0.5406649616368286	0.2637586196115098	0.3380281690140845	0.5268456375838926	0.04659846751684957
25	sequencer2sequencer	(BLCA,Atezo)	(BLCA,Atezo)HiSeq4000	(BLCA,Atezo)NovaSeq6000	IS	0.1	0.6179591836734695	0.7905982905982906	0.7349606225614291	0.5185185185185185	0.6285714285714286	0.31017689945385524
26	sequencer2sequencer	(BLCA,Atezo)	(BLCA,Atezo)NovaSeq6000	(BLCA,Atezo)HiSeq2500	IS	0.1	0.6477636142516103	0.5406649616368286	0.2637586196115098	0.3448275862068965	0.5536912751677853	0.06737999155242373
27	sequencer2sequencer	(BLCA,Atezo)	(BLCA,Atezo)NovaSeq6000	(BLCA,Atezo)HiSeq4000	IS	0.1	0.5555555555555555	0.653061224489796	0.3915690518631695	0.5	0.6190476190476191	0.2041241452319315
28	sequencer2sequencer	(SKCM,Nivo)	(SKCM,Nivo)HiSeq2000/2500	(SKCM,Nivo)HiSeq2500	IS	0.1	0.5246913580246914	0.6132756132756133	0.5468483946405239	0.5531914893617021	0.6111111111111112	0.21963031851023068
29	sequencer2sequencer	(SKCM,Nivo)	(SKCM,Nivo)HiSeq2500	(SKCM,Nivo)HiSeq2000/2500	IS	0.1	0.6847366397539408	0.6341463414634146	0.5814619336554179	0.28571428571428575	0.5098039215686274	0.009685485552825746
30	sequencer2sequencer	(SKCM,Pembro)	(SKCM,Pembro)HiSeq2000	(SKCM,Pembro)HiSeq2500	IS	0.1	0.5144861928474422	0.37389277389277387	0.3641816097004196	0.3908045977011494	0.43617021276595747	-0.1259033773052884
31	sequencer2sequencer	(SKCM,Pembro)	(SKCM,Pembro)HiSeq2500	(SKCM,Pembro)HiSeq2000	IS	0.1	0.5029585798816568	0.47023809523809523	0.562936699097822	0.5	0.46153846153846156	-0.08333333333333333
