	domain	group	train_cohort	test_cohort	mode	best_C	test_cohort_rgc	ROC	PRC	F1	ACC	MCC
0	cancer2cancer	(Atezo,HiSeq2500)	(Atezo,HiSeq2500)BLCA	(Atezo,HiSeq2500)KIRC	TAM	0.1	0.5874380165289257	0.5183404558404558	0.30142507753216435	0.3697478991596639	0.5454545454545454	0.03626154663146123
1	cancer2cancer	(Atezo,HiSeq2500)	(Atezo,HiSeq2500)KIRC	(Atezo,HiSeq2500)BLCA	TAM	0.1	0.6477636142516103	0.6127237851662404	0.3230066180212102	0.380952380952381	0.5637583892617449	0.12163304433967212
2	cancer2cancer	(Nivo,HiSeq2000)	(Nivo,HiSeq2000)GBM	(Nivo,HiSeq2000)KIRC	TAM	0.1	0.7551020408163265	0.2962962962962963	0.09855699855699855	0.0	0.47619047619047616	-0.3202563076101743
3	cancer2cancer	(Nivo,HiSeq2000)	(Nivo,HiSeq2000)KIRC	(Nivo,HiSeq2000)GBM	TAM	0.1	0.58	0.38095238095238093	0.23157671362005727	0.25	0.4	-0.2182178902359924
4	cancer2cancer	(Nivo,HiSeq2500)	(Nivo,HiSeq2500)LUAD	(Nivo,HiSeq2500)SKCM	TAM	0.1	0.5246913580246914	0.42712842712842713	0.3690224952301235	0.3673469387755102	0.42592592592592593	-0.14360443902592004
5	cancer2cancer	(Nivo,HiSeq2500)	(Nivo,HiSeq2500)SKCM	(Nivo,HiSeq2500)LUAD	TAM	0.1	0.5351936693044566	0.3494623655913978	0.2788871936414295	0.3555555555555555	0.40816326530612246	-0.16327418764218862
6	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)LUAD	(Pembro,HiSeq2500)SKCM	TAM	0.1	0.5144861928474422	0.5300699300699301	0.4328062554949921	0.4772727272727273	0.5106382978723404	0.028968272975116054
7	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)LUAD	(Pembro,HiSeq2500)STAD	TAM	0.1	0.6088888888888889	0.25757575757575757	0.17818322468975728	0.16216216216216217	0.3111111111111111	-0.37080992435478316
8	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)SKCM	(Pembro,HiSeq2500)LUAD	TAM	0.1	0.5775941230486685	0.5652173913043479	0.44177337022499774	0.4444444444444445	0.5454545454545454	0.11194627867626022
9	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)SKCM	(Pembro,HiSeq2500)STAD	TAM	0.1	0.6088888888888889	0.25757575757575757	0.17818322468975728	0.16216216216216217	0.3111111111111111	-0.37080992435478316
10	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)STAD	(Pembro,HiSeq2500)LUAD	TAM	0.1	0.5775941230486685	0.4347826086956522	0.27256534990392656	0.32	0.48484848484848486	-0.07223151185146152
11	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)STAD	(Pembro,HiSeq2500)SKCM	TAM	0.1	0.5144861928474422	0.4699300699300699	0.3929487312262827	0.39506172839506165	0.4787234042553192	-0.06191057435959226
12	drug2drug	(BLCA,NovaSeq6000)	(BLCA,NovaSeq6000)Atezo	(BLCA,NovaSeq6000)Pembro	TAM	0.1	0.7419659735349716	0.21978021978021978	0.09330887019174457	0.12121212121212123	0.3695652173913043	-0.23886884746466108
13	drug2drug	(BLCA,NovaSeq6000)	(BLCA,NovaSeq6000)Pembro	(BLCA,NovaSeq6000)Atezo	TAM	0.1	0.6179591836734695	0.49572649572649574	0.2531982017681815	0.27272727272727276	0.5428571428571428	-0.04638636070427132
14	drug2drug	(LUAD,HiSeq2500)	(LUAD,HiSeq2500)Nivo	(LUAD,HiSeq2500)Pembro	TAM	0.1	0.5775941230486685	0.4347826086956522	0.27256534990392656	0.3076923076923077	0.45454545454545453	-0.11194627867626022
15	drug2drug	(LUAD,HiSeq2500)	(LUAD,HiSeq2500)Pembro	(LUAD,HiSeq2500)Nivo	TAM	0.1	0.5351936693044566	0.3494623655913978	0.2788871936414295	0.3636363636363637	0.42857142857142855	-0.13156667549502776
16	drug2drug	(SKCM,HiSeq2500)	(SKCM,HiSeq2500)Ipi	(SKCM,HiSeq2500)Nivo	TAM	0.1	0.5246913580246914	0.5728715728715729	0.44674713206579486	0.4782608695652174	0.5555555555555556	0.09734495980881153
17	drug2drug	(SKCM,HiSeq2500)	(SKCM,HiSeq2500)Ipi	(SKCM,HiSeq2500)Pembro	TAM	0.1	0.5144861928474422	0.5300699300699301	0.4328062554949921	0.49438202247191015	0.5212765957446809	0.0543196569617603
18	drug2drug	(SKCM,HiSeq2500)	(SKCM,HiSeq2500)Nivo	(SKCM,HiSeq2500)Ipi	TAM	0.1	0.5555555555555556	0.5443786982248521	0.4128444915220205	0.3448275862068966	0.5128205128205128	-0.036860489038724284
19	drug2drug	(SKCM,HiSeq2500)	(SKCM,HiSeq2500)Nivo	(SKCM,HiSeq2500)Pembro	TAM	0.1	0.5144861928474422	0.5300699300699301	0.4328062554949921	0.49438202247191015	0.5212765957446809	0.0543196569617603
20	drug2drug	(SKCM,HiSeq2500)	(SKCM,HiSeq2500)Pembro	(SKCM,HiSeq2500)Ipi	TAM	0.1	0.5555555555555556	0.5443786982248521	0.4128444915220205	0.3448275862068966	0.5128205128205128	-0.036860489038724284
21	drug2drug	(SKCM,HiSeq2500)	(SKCM,HiSeq2500)Pembro	(SKCM,HiSeq2500)Nivo	TAM	0.1	0.5246913580246914	0.5728715728715729	0.44674713206579486	0.4782608695652174	0.5555555555555556	0.09734495980881153
