	domain	group	train_cohort	test_cohort	mode	best_epoch	test_cohort_rgc	ROC	PRC	F1	ACC	MCC
0	cancer2cancer	(Atezo,HiSeq2500)	(Atezo,HiSeq2500)BLCA	(Atezo,HiSeq2500)KIRC	LFT	1	0.5874380165289257	0.7104700854700854	0.47034217617100477	0.0	0.7090909090909091	0.0
1	cancer2cancer	(Atezo,HiSeq2500)	(Atezo,HiSeq2500)KIRC	(Atezo,HiSeq2500)BLCA	LFT	2	0.6477636142516103	0.5531329923273657	0.2883762803343811	0.21782178217821782	0.7348993288590604	0.0884142480130725
2	cancer2cancer	(Nivo,HiSeq2000)	(Nivo,HiSeq2000)GBM	(Nivo,HiSeq2000)KIRC	LFT	5	0.7551020408163265	0.7222222222222222	0.2793650793650793	0.25	0.14285714285714285	0.0
3	cancer2cancer	(Nivo,HiSeq2000)	(Nivo,HiSeq2000)KIRC	(Nivo,HiSeq2000)GBM	LFT	2	0.58	0.20238095238095238	0.19078149984690232	0.2727272727272727	0.2	-0.49099025303098287
4	cancer2cancer	(Nivo,HiSeq2500)	(Nivo,HiSeq2500)LUAD	(Nivo,HiSeq2500)SKCM	LFT	4	0.5246913580246914	0.6147186147186147	0.5072459783957357	0.4736842105263158	0.6296296296296297	0.19538794727709236
5	cancer2cancer	(Nivo,HiSeq2500)	(Nivo,HiSeq2500)SKCM	(Nivo,HiSeq2500)LUAD	LFT	3	0.5351936693044566	0.503584229390681	0.3481155736795987	0.5483870967741935	0.42857142857142855	0.11701873981366838
6	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)LUAD	(Pembro,HiSeq2500)SKCM	LFT	5	0.5144861928474422	0.6531468531468532	0.6386944262895035	0.14285714285714288	0.6170212765957447	0.2156199656082262
7	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)LUAD	(Pembro,HiSeq2500)STAD	LFT	5	0.6088888888888889	0.7777777777777777	0.6422505759908068	0.5714285714285714	0.6666666666666666	0.38871061168109244
8	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)SKCM	(Pembro,HiSeq2500)LUAD	LFT	4	0.5775941230486685	0.4521739130434783	0.29498040045365204	0.4651162790697675	0.30303030303030304	0.0
9	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)SKCM	(Pembro,HiSeq2500)STAD	LFT	4	0.6088888888888889	0.5429292929292929	0.3091261125201619	0.4210526315789474	0.26666666666666666	0.0
10	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)STAD	(Pembro,HiSeq2500)LUAD	LFT	5	0.5775941230486685	0.817391304347826	0.6946172352315615	0.16666666666666669	0.696969696969697	0.10886382502152388
11	cancer2cancer	(Pembro,HiSeq2500)	(Pembro,HiSeq2500)STAD	(Pembro,HiSeq2500)SKCM	LFT	5	0.5144861928474422	0.5990675990675991	0.5529253663932099	0.0	0.5851063829787234	0.0
