SignatureName	Reference	Description	Genes
GeneBio	PMID:30127393	Immunotherapy target marker: PD1_PD-L1_CTLA4, Kong J H, et al. Nature communications, 2022, 13(1): 3703.	PDCD1:CD274:CTLA4
CTLA4	PMID:30127393,PMID:35764641	Single target marker CTLA4	CTLA4
PD1	PMID:30127393,PMID:35764641	Single target marker PDCD1	PDCD1
PD-L1	PMID:30127393,PMID:35764641	Single target marker CD274	CD274
CD8	PMID: 27301722;PMID: 30127393; PMID: 34761219	CD8Tcell_sc (Average expression of CD8A + CD8B)	CD8A:CD8B
Davoli_CIS	PMID: 28104840	Davoli cytotoxic immune signature (Averaging the expression levels of cytotoxic immune signature genes)	CD247:CD2:CD3E:GZMH:NKG7:PRF1:GZMK
Fehrenbacher_Teff	PMID: 26970723	Fehrenbacher T-effector-IFN-y signature (Averaging the expression levels of T-effector IFN-γ signature genes)	CD8A:GZMA:GZMB:IFNG:EOMES:CXCL9:CXCL10:TBX21
Huang_NRS	PMID: 30804515	Averaging the expression levels of neoadjuvant response signature (NRS) genes (including genes involved in T cell activation, adaptive immune response, and T cell migration )	CLEC5A:TNFSF8:LILRB2:FCGR2A:CLEC7A:CD86:CD14:LAIR1:ITGAM:FCGR3A:LILRB4:CD33:CCR1:SIGLEC9:MARCO:CD163:EMILIN2:CCL8:CCL2:HOPX:EFEMP1:FN1:SERPING1:SULF1:KLRC2:GZMB:IL2RA:TNFSF10:SERPINA1:PSTPIP2:GZMH:SLAMF8:HCLS1:PDCD1LG2:TNFAIP8L2:GZMA:CCL5:NKG7:CCR5:CLEC12A:CST7:CXCL11:CXCL10:GBP1:LILRB1:HCST:PRF1:LAG3:IFNG:TNFSF14:CXCL13:SIGLEC10:IL32:CXCL9:VCAM1:CASP10:CD38:CCR2:THY1:FAP:CDH11:RARRES2:COL1A1:COL3A1:COL1A2:MMP1:IL27:CLEC4E:TNFSF18
Ayers_IFNg6	PMID: 28650338	IFNG signature Ayers et al. JCI 2017	IDO1:CXCL10:CXCL9:HLA-DRA:STAT1:IFNG
Ayers_IFNg18	PMID: 28650338	Expanded immune gene signature, Ayers et al. JCI 2017	CD3D:IDO1:CIITA:CD3E:CCL5:GZMK:CD2:HLA-DRA:CXCL13:IL2RG:NKG7:HLA-E:CXCR6:LAG3:TAGAP:CXCL10:STAT1:GZMB
IMPRES_set1	PMID: 30127394	Auslander IMPRES gene 1 (Sum of ratios of 15 checkpoint or immune gene pairs)	PDCD1:CD27:CTLA4:CD40:CD86:CD28:CD80:CD274:CD86:CD40:CD86:CD40:CD28:CD40:TNFRSF14
IMPRES_set2	PMID: 30127394	Auslander IMPRES gene 2 (Sum of ratios of 15 checkpoint or immune gene pairs)	TNFSF4:PDCD1:TNFSF4:CD28:TNFSF4:CD86:TNFRSF9:VSIR:HAVCR2:PDCD1:CD200:CD80:CD276:CD274:CD86
Jiang_CTLs	PMID: 30127393	Cytotoxic T lymphocytes markers (CTLs, averaging the expression levels of signature genes)	CD8A:CD8B:GZMA:GZMB:PRF1
Jiang_TAMs	PMID: 30127393	Tumor-associated macrophages(TAMs, averaging the expression levels of signature genes)	F13A1:FCER1A:CCL17:FOXQ1:ESPNL:CD1A:GATM:CCL13:PALLD:GALNT18:MAOA:RAMP1:STAB1:CCL26:CCL23:PARM1:CD1E:ITM2C:CALCRL:CRH:RGS18:MS4A6A:DHRS2:PON2:ALOX15:RAB33A:MOCOS:CCL18:IL17RB:FABP4:CMTM8:QPRT:CDR2L:DUOXA1:ABCC4:SYT17:PPP1R14A:PDGFC:GPT:FAM189A2:RASAL1:IPCEF1:ZNF366:MAP4K1:RAB30:PCED1B:TMIGD3:SH3BP4:RRS1:RNASE1
Jiang_Texh	PMID: 30127393	T-cell exhaustion Pos (Texh, averaging the expression levels of signature genes)	HSPA1B:HSPA1A:NR4A2:RGS1:TNFAIP3:CAMK2N1:DUSP1:NR4A3:IFIT3:IFIT1B:FOSB:CCL5:SAMD3:CCL3L3:MACC1:VPS37B:TF:DSEL:SPATA20:ADSSL1:DHX58:SPP1:TRIM15:DUSP26:ABI3:SFN:C1QC:RTP4:JUN:BCKDHB:CCL4:POU6F1:CYSLTR2:SLC14A1:RGS16:CUEDC1:DEDD2:CPEB1:CTSS:TMEM88:FAM196B:SKI:BTG1:SYCP2L:RGS2:ABCB1:ADRB2:CD69:RNF166:TNN
Messina_CKS	PMID: 23097687	Messina 12-chemokine signature (Principal component 1 score from PCA of expression levels of 12 chemokine signature genes)	CCL2:CCL3:CCL4:CCL5:CCL8:CCL18:CCL19:CCL21:CXCL9:CXCL10:CXCL11:CXCL13
Nurmik_CAFs	PMID: 30734283	Cancer-associated fibroblasts (CAFs, averaging the expression levels of signature genes )	FAP:ACTA2:MFAP5:COL11A1:TN-C
Roh_IS	PMID: 28251903	Roh immune score (Averaging the expression levels of immune genes)	GZMA:GZMB:PRF1:GNLY:HLA-A:HLA-B:HLA-C:HLA-E:HLA-F:HLA-G:HLA-H:HLA-DMA:HLA-DMB:HLA-DOA:HLA-DOB:HLA-DPA1:HLA-DPB1:HLA-DQA1:HLA-DQA2:HLA-DQB1:HLA-DRA:HLA-DRB1:IFNG:IFNGR1:IFNGR2:IRF1:STAT1:PSMB9:CCR5:CCL3:CCL4:CCL5:CXCL9:CXCL10:CXCL11:ICAM1:ICAM2:ICAM3:ICAM4:ICAM5:VCAM1
Rooney_ICA	PMID: 25594174	Rooney immune cytolytic activity (Averaging the expression levels of granzyme A (GZMA) and perforin (PRF1)	GZMA:PRF1
