	ROC	PRC	F1	ACC	cohort	mode	seed
Test	0.5384615384615383	0.20714285714285716	0.5	0.75	Choueiri	MIAS	
Test	0.033333333333333326	0.16476641006052772	0.12500000000000003	0.17647058823529413	Miao	MIAS	
Test	0.2346938775510204	0.2241786188159474	0.33333333333333326	0.42857142857142855	Snyder	MIAS	
Test	0.5808823529411764	0.39763850732600736	0.380952380952381	0.48	SU2CLC2	MIAS	
Test	0.512987012987013	0.4337709348183656	0.5833333333333334	0.6	Zhao	MIAS	
Test	0.38690476190476186	0.44093667653541607	0.32	0.34615384615384615	Hugo	MIAS	
Test	0.5833333333333333	0.48233515217361783	0.5185185185185186	0.6176470588235294	MGH	MIAS	
Test	0.5887573964497042	0.3682864155603681	0.4827586206896552	0.6153846153846154	Allen	MIAS	
Test	0.6944444444444444	0.39515308493249673	0.5333333333333333	0.6888888888888889	Kim	MIAS	
Test	0.6146341463414634	0.39900586948222383	0.35294117647058826	0.5686274509803921	Riaz	MIAS	
Test	0.7643939393939394	0.739527757525562	0.7272727272727273	0.7123287671232876	Gide	MIAS	
Test	0.5325342465753424	0.18597039807598825	0.3636363636363636	0.6067415730337079	Rose	MIAS	
Test	0.5937499999999999	0.4503919549934725	0.5238095238095238	0.6078431372549019	SU2CLC1	MIAS	
Test	0.5218033998521804	0.4063381312335696	0.46808510638297873	0.5327102803738317	Liu	MIAS	
Test	0.6552706552706553	0.3980125158025439	0.5	0.6242424242424243	IMmotion150	MIAS	
Test	0.3450127877237852	0.16944488246505895	0.29245283018867924	0.4966442953020134	IMVigor210	MIAS	
