Index,UMAP1,UMAP2,sequencer
IMVigor210-0257bb-ar-0257bbb,17.474424,10.947143,HiSeq2500
IMVigor210-025b45-ar-025b45c,17.327562,12.058778,HiSeq2500
IMVigor210-032c64-ar-032c642,16.672625,8.8964405,HiSeq2500
IMVigor210-0571f1-ar-0571f17,14.597794,8.484724,HiSeq2500
IMVigor210-065890-ar-0658907,17.453669,9.416749,HiSeq2500
IMVigor210-0684af-ar-0684af7,20.014482,9.701374,HiSeq2500
IMVigor210-075e03-ar-075e037,20.308325,8.63573,HiSeq2500
IMVigor210-07a93a-ar-07a93a2,17.631277,11.084492,HiSeq2500
IMVigor210-08cce2-ar-08cce2f,19.0633,11.08681,HiSeq2500
IMVigor210-09c84e-ar-09c84ec,19.865793,8.929246,HiSeq2500
IMVigor210-0a0f2b-ar-0a0f2ba,17.533627,9.459006,HiSeq2500
IMVigor210-0a7c20-ar-0a7c209,17.41057,9.642196,HiSeq2500
IMVigor210-0bdb34-ar-0bdb342,17.244898,12.005778,HiSeq2500
IMVigor210-0ce9c9-ar-0ce9c98,14.515329,11.430397,HiSeq2500
IMVigor210-0d855c-ar-0d855cf,18.29362,10.095937,HiSeq2500
IMVigor210-0f956e-ar-0f956e7,17.563318,9.750783,HiSeq2500
IMVigor210-110501-ar-110501d,17.15639,11.123177,HiSeq2500
IMVigor210-12502d-ar-12502d9,16.702623,11.45092,HiSeq2500
IMVigor210-149386-ar-1493861,16.27282,11.274405,HiSeq2500
IMVigor210-14df63-ar-14df63a,18.955498,10.493009,HiSeq2500
IMVigor210-166a41-ar-166a419,14.806448,11.687704,HiSeq2500
IMVigor210-180398-ar-1803982,18.465305,10.86345,HiSeq2500
IMVigor210-181b63-ar-181b638,14.258976,11.244216,HiSeq2500
IMVigor210-187e05-ar-187e056,17.563013,10.399644,HiSeq2500
IMVigor210-18a4da-ar-18a4dab,18.149302,8.931221,HiSeq2500
IMVigor210-18b935-ar-18b9351,14.841968,11.003253,HiSeq2500
IMVigor210-18bc10-ar-18bc107,16.693455,10.217485,HiSeq2500
IMVigor210-18be5b-ar-18be5b3,17.990665,9.873735,HiSeq2500
IMVigor210-19fec8-ar-19fec8f,16.418844,11.300866,HiSeq2500
IMVigor210-1a87df-ar-1a87df7,16.064775,10.120468,HiSeq2500
IMVigor210-1ab1b2-ar-1ab1b28,17.479069,10.784,HiSeq2500
IMVigor210-1abf01-ar-1abf01d,16.080772,10.639942,HiSeq2500
IMVigor210-1ac4e3-ar-1ac4e3d,19.892643,9.098117,HiSeq2500
IMVigor210-1c0ecf-ar-1c0ecfb,14.769794,11.062685,HiSeq2500
IMVigor210-1c8b08-ar-1c8b086,15.970798,12.043468,HiSeq2500
IMVigor210-1dda30-ar-1dda30f,16.363276,11.763663,HiSeq2500
IMVigor210-1e9c4d-ar-1e9c4d1,17.20038,10.197183,HiSeq2500
IMVigor210-1f66db-ar-1f66db5,16.532753,9.976162,HiSeq2500
IMVigor210-1f83eb-ar-1f83ebd,17.464962,10.706257,HiSeq2500
IMVigor210-1fa6bc-ar-1fa6bcb,16.809097,10.618739,HiSeq2500
IMVigor210-203dcf-ar-203dcf1,14.360884,10.0005045,HiSeq2500
IMVigor210-2070b4-ar-2070b41,16.03387,10.736901,HiSeq2500
IMVigor210-230959-ar-2309593,19.24383,10.525095,HiSeq2500
IMVigor210-23aa15-ar-23aa15d,17.041218,9.235782,HiSeq2500
IMVigor210-25510f-ar-25510f3,19.362543,9.08594,HiSeq2500
IMVigor210-2570ff-ar-2570ff4,15.152925,10.752345,HiSeq2500
IMVigor210-26104d-ar-26104d5,17.307112,11.949731,HiSeq2500
IMVigor210-262422-ar-2624229,14.990099,12.031901,HiSeq2500
IMVigor210-27299a-ar-27299ae,18.930347,10.139971,HiSeq2500
IMVigor210-286870-ar-2868703,14.427346,10.276861,HiSeq2500
IMVigor210-28e603-ar-28e6031,20.34388,9.338751,HiSeq2500
IMVigor210-297c03-ar-297c030,15.1388235,10.89762,HiSeq2500
IMVigor210-29da92-ar-29da928,15.477407,11.220693,HiSeq2500
IMVigor210-2b672f-ar-2b672f4,16.159496,11.791662,HiSeq2500
IMVigor210-2bba8c-ar-2bba8cb,16.491476,11.363128,HiSeq2500
