Index,UMAP1,UMAP2,sequencer
IMVigor210-0257bb-ar-0257bbb,6.381454,12.296869,HiSeq2500
IMVigor210-025b45-ar-025b45c,8.29065,8.932293,HiSeq2500
IMVigor210-032c64-ar-032c642,6.391979,11.390031,HiSeq2500
IMVigor210-0571f1-ar-0571f17,7.453678,11.952918,HiSeq2500
IMVigor210-065890-ar-0658907,6.2600465,11.949794,HiSeq2500
IMVigor210-0684af-ar-0684af7,4.61086,12.376464,HiSeq2500
IMVigor210-075e03-ar-075e037,4.5337305,12.248679,HiSeq2500
IMVigor210-07a93a-ar-07a93a2,6.819629,10.562713,HiSeq2500
IMVigor210-08cce2-ar-08cce2f,5.0090218,10.842542,HiSeq2500
IMVigor210-09c84e-ar-09c84ec,8.300669,10.063073,HiSeq2500
IMVigor210-0a0f2b-ar-0a0f2ba,6.0940976,10.841952,HiSeq2500
IMVigor210-0a7c20-ar-0a7c209,4.1971307,8.877367,HiSeq2500
IMVigor210-0bdb34-ar-0bdb342,8.348658,9.096494,HiSeq2500
IMVigor210-0ce9c9-ar-0ce9c98,4.50453,9.141046,HiSeq2500
IMVigor210-0d855c-ar-0d855cf,4.7678776,11.517512,HiSeq2500
IMVigor210-0f956e-ar-0f956e7,7.6559215,9.651844,HiSeq2500
IMVigor210-110501-ar-110501d,6.290188,10.76966,HiSeq2500
IMVigor210-12502d-ar-12502d9,7.0656033,12.451564,HiSeq2500
IMVigor210-149386-ar-1493861,6.7391233,12.154766,HiSeq2500
IMVigor210-14df63-ar-14df63a,7.953535,12.007508,HiSeq2500
IMVigor210-166a41-ar-166a419,8.244228,8.543174,HiSeq2500
IMVigor210-180398-ar-1803982,6.7547007,12.631857,HiSeq2500
IMVigor210-181b63-ar-181b638,7.3013124,10.651981,HiSeq2500
IMVigor210-187e05-ar-187e056,6.7678504,10.655888,HiSeq2500
IMVigor210-18a4da-ar-18a4dab,6.1424212,11.648645,HiSeq2500
IMVigor210-18b935-ar-18b9351,6.7074456,11.307252,HiSeq2500
IMVigor210-18bc10-ar-18bc107,5.9544296,12.2288475,HiSeq2500
IMVigor210-18be5b-ar-18be5b3,5.986375,11.959295,HiSeq2500
IMVigor210-19fec8-ar-19fec8f,5.3373632,9.5776615,HiSeq2500
IMVigor210-1a87df-ar-1a87df7,4.503941,8.78176,HiSeq2500
IMVigor210-1ab1b2-ar-1ab1b28,5.8581696,12.243845,HiSeq2500
IMVigor210-1abf01-ar-1abf01d,6.4258223,11.738985,HiSeq2500
IMVigor210-1ac4e3-ar-1ac4e3d,4.825481,12.117596,HiSeq2500
IMVigor210-1c0ecf-ar-1c0ecfb,5.3207083,9.058043,HiSeq2500
IMVigor210-1c8b08-ar-1c8b086,8.359287,8.531532,HiSeq2500
IMVigor210-1dda30-ar-1dda30f,8.614801,9.09155,HiSeq2500
IMVigor210-1e9c4d-ar-1e9c4d1,7.757361,11.122682,HiSeq2500
IMVigor210-1f66db-ar-1f66db5,4.676564,9.319639,HiSeq2500
IMVigor210-1f83eb-ar-1f83ebd,4.105001,11.580518,HiSeq2500
IMVigor210-1fa6bc-ar-1fa6bcb,5.7326794,12.708318,HiSeq2500
